titulo,conteudo,resposta,data,texto_limpo,sentimento
CANCELEI TEM 3 MESES MEU CONTRATO COM A ACADEMIA E MESMO ASSIM CONITNUA COBRANDO E A NUBBANK SE NEGA A ESTORNAR O VALOR OU DESVEICULAR MEU CARTÃO DELES.,BOM DIA.CANCELEI O CONTRATO COM ACADEMIA NO FIM DE FEVEREIRO. EM MARÇO PAR A MINHA SURPRESA VEIO COBRANDO NO CART...,False,Há 1 hora,bom diacancelei contrato academia fim fevereiro marco par surpresa veio cobrando cart,NEGATIVO
O aplicativo não sai da pagina de cadastro finalizado,Bom dia.Solicitei uma abertura de conta na qual foi liberado um limite de cartão na Nubank. Preenchi todas as eta...,False,Há 1 hora,bom diasolicitei abertura conta liberado limite cartao nubank preenchi todas eta,POSITIVO
A Nubank se recusa a renegociar dívida com juros abusivos,"Em 2022, fiz um acordo com o Nubank para quitar uma dívida no valor de R$ *****. Por dificuldades financeiras, infelizmente n...",False,Há 1 hora,fiz acordo nubank quitar divida valor r dificuldades financeiras infelizmente n,NEGATIVO
Resolver problemas com cartão de crédito,"Fiz a compra com o cartão de crédito dia ***** de março e depois de dois dias os itens disse q deu pagamento recusado, mas a ...",False,Há 1 hora,fiz compra cartao credito dia marco dois dias itens disse q deu pagamento recusado,NEGATIVO
Reclamação sobre má prestação de serviço e solicitação de troca de aparelho por novo,"Prezados,Venho, por meio deste, registrar uma reclamação formal contra o seguro contratado por meio do Nubank, co...",False,Há 1 hora,prezadosvenho meio deste registrar reclamacao formal contra seguro contratado meio nubank co,NEGATIVO
"Conta encerrada com mais de ***** nela, um descaso","Aparecendo a seguinte mensagem ""Sua conta do nubank foi encerrada devido a uma situacao cadastral""Envie...",False,Há 1 hora,aparecendo seguinte mensagem conta nubank encerrada devido situacao cadastralenvie,NEGATIVO
Bloqueio com dinheiro na conta,O banco bloqueou ***** reais meu já mandei duas conta no meu nome pra eles fazer a devolução do dinheiro nada fala ***** dias...,False,Há 1 hora,banco bloqueou reais ja mandei duas conta nome pra fazer devolucao dinheiro nada fala dias,NEGATIVO
Acordo indevido,Simulei um acordo de parcelamento e concluíram o processo sem eu ter finalizado a confirmação ou digitado a senha de confirma...,False,Há 1 hora,simulei acordo parcelamento concluiram processo ter finalizado confirmacao digitado senha confirma,NEGATIVO
CANCELAMENTO DE CONTA E RETENÇÃO DO DINHEIRO,"Venho por meio deste registrar uma reclamação contra a instituição Nubank (Nu Pagamentos S.A.), em razão do bloqueio e encerr...",False,Há 1 hora,venho meio deste registrar reclamacao contra instituicao nubank nu pagamentos sa razao bloqueio encerr,NEGATIVO
DECEPÇÃO,Bom dia simplesmente eu fui bloqueado minha conta sem motivo algum Ninguém me falou nada acordei e falou acordei minha conta ...,False,Há 1 hora,bom dia simplesmente bloqueado conta motivo algum ninguem falou nada acordei falou acordei conta,NEGATIVO
